"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","DBPR_SCHEDULE_CAT_CODE","CDS_ID","GW_SW_CODE","LT2_SCHEDULE_CAT_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","POP_CAT_2_CODE","POP_CAT_3_CODE","POP_CAT_4_CODE","POP_CAT_5_CODE","POP_CAT_11_CODE","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","ADMIN_NAME","EMAIL_ADDR","PHONE_NUMBER","PHONE_EXT_NUMBER","FAX_NUMBER","ALT_PHONE_NUMBER","ADDRESS_LINE1","ADDRESS_LINE2","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED"
"3318","TX1010715","HARRIS COUNTY MUD 26","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",14007,2,2,2,4,6,"State","GW","Y","N","N",4669,"Y","SPROUSE, RICHARD, A","SPROUSE, RICHARD, A",NA,"713-623-4531",NA,NA,NA,"1300 POST OAK BLVD STE 1400",NA,"HOUSTON","77056-3078","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3319","TX1010720","HARRIS COUNTY MUD 53","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",16164,2,2,2,4,6,"State","SWP","Y","N","N",5389,"Y","GRANT, JUDY","GRANT, JUDY",NA,"713-637-8835",NA,"713-637-8866",NA,"PO BOX 24338",NA,"HOUSTON","77229-4338","US","TX","Y","31-AUG-07",NA,NA,"Not Reported","Harris"
"3320","TX1010729","HOUSTON INTERCONTINENTAL","N","TX","06","01-01","12-31","N","15-DEC-09","CWS",NA,NA,"GW",NA,"L",18000,2,2,2,4,6,"State","GW","N","N","N",1,"Y",NA,"HOUSTON INTERCONTINENTAL",NA,NA,NA,NA,NA,"C/O WATER UTILITIES DEPARTMENT","PO BOX 1562","HOUSTON","77251","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3321","TX1010774","HARRIS COUNTY MUD 120","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",12414,2,2,2,4,6,"State","GW","Y","N","N",4138,"Y","GASSMANN, GARY","GASSMANN, GARY",NA,"713-860-6400",NA,NA,NA,"3200 SOUTHWEST FWY STE 2600","ALLEN BOONE HUMPHRIES ROBINSON LLP","HOUSTON","77027-7537","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3322","TX1010884","NORTHWEST HARRIS COUNTY MUD 5","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",13407,2,2,2,4,6,"State","GW","Y","N","N",4469,"Y","STOLLMACK, HARRY, S","STOLLMACK, HARRY, S",NA,"713-652-6500",NA,NA,NA,"2727 ALLEN PKWY STE 1100",NA,"HOUSTON","77019-2191","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3323","TX1011249","LANGHAM CREEK UTILITY DISTRICT","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",10377,2,2,2,4,6,"State","SWP","Y","N","N",3459,"Y","NATHANSON, GARY, C","NATHANSON, GARY, C",NA,"713-623-6143",NA,"713-623-6143",NA,"1300 POST OAK BLVD STE 1400",NA,"HOUSTON","77056-3078","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3324","TX1011430","HARRIS COUNTY MUD 157","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"L",10956,2,2,2,4,6,"State","GW","Y","N","N",3652,"Y","BAYLES, TIMOTHY, H","BAYLES, TIMOTHY, H",NA,"713-652-6500",NA,NA,NA,"2727 ALLEN PKWY STE 1100",NA,"HOUSTON","77019-2191","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3325","TX1011550","BRIDGESTONE MUD","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"GW",NA,"L",18922,2,2,2,4,6,"State","GW","Y","N","N",6174,"Y","MARKS, JIM","MARKS, JIM",NA,"713-237-1221",NA,NA,NA,"2929 ALLEN PKWY STE 3450",NA,"HOUSTON","77019-7120","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3326","TX1011591","HOUSTON-GREENSPOINT","N","TX","06","01-01","12-31","I","01-SEP-00","CWS",NA,NA,"GW",NA,"L",76323,2,3,3,4,7,"State","GW","N","N","N",24009,"Y",NA,"HOUSTON-GREENSPOINT",NA,NA,NA,NA,NA,"C/O JERRY KING-WTR QLTY/PROD","2300 FEDERAL RD","HOUSTON","77015","US","TX",NA,NA,NA,NA,"Not Reported","Harris"
"3327","TX1011592","HOUSTON-RIDGEMONT AREA","N","TX","06","01-01","12-31","I","01-DEC-83","CWS",NA,NA,"SW",NA,"L",10911,2,2,2,4,6,"State","SWP","N","N","N",3637,"Y",NA,"HOUSTON-RIDGEMONT AREA",NA,NA,NA,NA,NA,NA,"CITY HALL","HOUSTON","77002","US","TX",NA,NA,NA,NA,"Not Reported","Rusk"
"3328","TX1011783","HARRIS COUNTY MUD 168","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"L",13008,2,2,2,4,6,"State","GW","Y","N","N",4336,"Y","TANOUS, THOMAS, L","TANOUS, THOMAS, L","ttanous@houston.rr.com","281-313-2513",NA,NA,NA,"2277 PLAZA DR STE 280",NA,"SUGAR LAND","77479-6609","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3329","TX1011823","HARRIS COUNTY MUD 71","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",11439,2,2,2,4,6,"State","GW","Y","N","N",3813,"Y","THORNHILL, KATRINA","THORNHILL, KATRINA",NA,"713-860-6400",NA,NA,NA,"3200 SOUTHWEST FWY STE 2600","ALLEN BOONE HUMPHRIES ROBINSON LLP","HOUSTON","77027-7537","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3330","TX1011902","CITY OF HOUSTON WILLOW CHASE","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"GW",NA,"L",13536,2,2,2,4,6,"State","GW","Y","N","N",4512,"Y","RUDICK, DALE, A","RUDICK, DALE, A","PWE.DIRECTOR@HOUSTONTX.GOV","713-837-0311",NA,NA,NA,"PO BOX 1562",NA,"HOUSTON","77251-1562","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3331","TX1012007","HARRIS COUNTY MUD 200 CRANBROOK","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",14697,2,2,2,4,6,"State","SWP","Y","Y","N",6030,"Y","WRIGHT, JAMES","WRIGHT, JAMES",NA,"281-873-0163",NA,NA,NA,"1300 POST OAK BLVD STE 1400",NA,"HOUSTON","77056-3078","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3332","TX1012187","HARRIS COUNTY MUD 165","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",17763,2,2,2,4,6,"State","GW","Y","N","N",5921,"Y","BENTSON, ALAN","BENTSON, ALAN",NA,"713-860-6400",NA,NA,NA,"3200 SOUTHWEST FWY STE 2600",NA,"HOUSTON","77027-7537","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3333","TX1012755","NORTH HARRIS CO COLLEGE-SO CAM","N","TX","06","01-01","12-31","I","01-MAY-92","TNCWS",NA,NA,"GW",NA,"L",11322,2,2,2,4,6,"State","GWP","N","N","N",3,"Y",NA,"NORTH HARRIS CO COLLEGE-SO CAM",NA,NA,NA,NA,NA,NA,"250 SAM HOUSTON BELTWAY","HOUSTON","77060","US","TX",NA,NA,NA,NA,"Not Reported","Harris"
"3334","TX1012842","HARRIS COUNTY MUD 167","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"L",10999,2,2,2,4,6,"State","GW","Y","N","N",3492,"Y","HRONAS, VERNEATH, LOUISE","HRONAS, VERNEATH, LOUISE",NA,"713-860-6404",NA,NA,NA,"3200 SOUTHWEST FWY STE 2600",NA,"HOUSTON","77027-7537","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3335","TX1013074","REMINGTON MUD 1","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",13338,2,2,2,4,6,"State","SWP","Y","N","N",4446,"Y","ELMORE, VERNON, L","ELMORE, VERNON, L",NA,"713-623-4531",NA,NA,NA,"1300 POST OAK BLVD STE 1400",NA,"HOUSTON","77056-3078","US","TX","Y","15-SEP-10",NA,NA,"Not Reported","Harris"
"3336","TX1013305","HARRIS MONTGOMERY COUNTIES MUD 386","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"GW",NA,"L",10659,2,2,2,4,6,"State","GWP","Y","N","N",3553,"Y","PERCIFUL, JERRY, C","PERCIFUL, JERRY, C",NA,"713-623-4531",NA,NA,NA,"1300 POST OAK BLVD STE 1400",NA,"HOUSTON","77056-3078","US","TX","N",NA,NA,NA,"Not Reported","Harris"
"3337","TX1020002","CITY OF MARSHALL","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",23409,2,2,2,4,6,"State","SW","Y","Y","N",11118,"Y","NEAL, ERIC","NEAL, ERIC",NA,"903-935-4421",NA,NA,NA,"PO BOX 698",NA,"MARSHALL","75671-0698","US","TX","N",NA,NA,NA,"Not Reported","Harrison"
"3338","TX1050001","CITY OF SAN MARCOS","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",53540,2,3,3,4,7,"State","SW","Y","Y","N",34344,"Y","GUERRERO, DANIEL","GUERRERO, DANIEL","Mayor_Council_Info@sanmarcostx.gov","512-393-8090",NA,"512-396-1576",NA,"630 E HOPKINS ST",NA,"SAN MARCOS","78666-6314","US","TX","Y","31-AUG-07",NA,NA,"Not Reported","Hays"
"3339","TX1050002","CITY OF KYLE","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",25443,2,2,2,4,6,"State","SWP","Y","N","N",8905,"Y","WEBSTER, TODD","WEBSTER, TODD",NA,"512-262-1010",NA,NA,NA,"PO BOX 40",NA,"KYLE","78640-0040","US","TX","Y","31-AUG-93",NA,NA,"Not Reported","Hays"
"3340","TX1050003","TEXAS STATE UNIVERSITY - SAN MARCOS","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"S",30000,2,2,2,4,6,"State","GW","Y","N","Y",2500,"Y","LARA, SHERI","LARA, SHERI","SL35@txstate.edu","512-245-2517",NA,"512-245-9043",NA,"601 UNIVERSITY DR",NA,"SAN MARCOS","78666-4684","US","TX","Y","31-AUG-07",NA,NA,"Not Reported","Hays"
"3341","TX1050012","CITY OF BUDA","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"SW",NA,"L",10680,2,2,2,4,6,"State","SWP","Y","N","N",3556,"Y","RUGE, TODD","RUGE, TODD",NA,"512-312-2876",NA,"512-312-5238",NA,"PO BOX 1380",NA,"BUDA","78610-1380","US","TX","Y","31-AUG-93",NA,NA,"Not Reported","Hays"
"3342","TX1050019","GOFORTH SUD","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",15612,2,2,2,4,6,"State","SWP","Y","N","N",5204,"Y","SANDOVAL, DEBBIE","SANDOVAL, DEBBIE",NA,"512-376-5695",NA,"512-376-7631",NA,"8900 NIEDERWALD STRASSE",NA,"NIEDERWALD","78640-4034","US","TX","Y","31-AUG-93",NA,NA,"Not Reported","Hays"
"3343","TX1070005","CITY OF ATHENS","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",12710,2,2,2,4,6,"State","SWP","Y","N","N",5848,"Y","VAUGHT, JERRY, D","VAUGHT, JERRY, D",NA,"903-675-5131",NA,"903-675-7562",NA,"508 E TYLER ST",NA,"ATHENS","75751-2068","US","TX","N",NA,NA,NA,"Not Reported","Henderson"
"3344","TX1070167","EAST CEDAR CREEK FWSD BROOKSHIRE","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",13170,2,2,2,4,6,"State","SW","Y","N","N",4390,"Y","MCCUNE, HARRY","MCCUNE, HARRY",NA,"903-887-7103",NA,NA,NA,"PO BOX 309",NA,"MABANK","75147-0309","US","TX","Y","31-AUG-12",NA,NA,"Not Reported","Henderson"
"3345","TX1070190","WEST CEDAR CREEK MUD","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",18168,2,2,2,4,6,"State","SW","Y","N","N",6020,"Y","SMITH JR, CLIFTON","SMITH JR, CLIFTON",NA,"903-432-3704",NA,NA,NA,"821 S TOOL DR",NA,"TOOL","75143-2004","US","TX","Y","31-AUG-12",NA,NA,"Not Reported","Henderson"
"3346","TX1080001","CITY OF ALAMO","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",18363,2,2,2,4,6,"State","SW","Y","N","N",4900,"Y","MARTINEZ, DIANA","MARTINEZ, DIANA",NA,"956-787-0006",NA,NA,NA,"420 N TOWER RD",NA,"ALAMO","78516-2795","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3347","TX1080002","CITY OF DONNA","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",15000,2,2,2,4,6,"State","SW","Y","Y","N",5163,"Y","MUNOZ, IRENE","MUNOZ, IRENE",NA,"956-464-3314",NA,NA,NA,"307 S 12TH ST",NA,"DONNA","78537-3337","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3348","TX1080004","CITY OF EDINBURG","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",77100,2,3,3,4,7,"State","SW","Y","N","N",24079,"Y","GARCIA, RICHARD, H","GARCIA, RICHARD, H",NA,"956-388-8204",NA,NA,NA,"PO BOX 1079",NA,"EDINBURG","78540-1079","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3349","TX1080006","MCALLEN PUBLIC UTILITY","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",163302,2,3,4,5,8,"State","SW","Y","Y","N",57434,"Y","DARLING, JIM","DARLING, JIM",NA,"956-681-1020",NA,NA,NA,"PO BOX 220",NA,"MCALLEN","78505-0220","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3350","TX1080007","CITY OF MERCEDES","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",15700,2,2,2,4,6,"State","SW","Y","Y","N",5251,"Y","HINOJOSA, HENRY","HINOJOSA, HENRY",NA,"956-565-3114",NA,NA,NA,"PO BOX 837",NA,"MERCEDES","78570-0837","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3351","TX1080008","CITY OF MISSION","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",77058,2,3,3,4,7,"State","SW","Y","Y","N",26609,"Y","SALINAS, NORBERTO, BETO","SALINAS, NORBERTO, BETO",NA,"956-580-8650",NA,"956-580-8669",NA,"1201 E 8TH ST",NA,"MISSION","78572-5812","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3352","TX1080009","CITY OF PHARR","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",70400,2,3,3,4,7,"State","SW","Y","N","N",18701,"Y","PALACIOS, LEO","PALACIOS, LEO",NA,"956-402-4100",NA,"956-783-4688",NA,"PO BOX 1729",NA,"PHARR","78577-1632","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3353","TX1080010","CITY OF SAN JUAN","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",30000,2,2,2,4,6,"State","SW","Y","Y","N",6428,"Y","SANCHEZ, SAN, JUANITA","SANCHEZ, SAN, JUANITA","sjsanchez@cityofsanjuantexas.com","956-223-2200",NA,NA,NA,"709 S NEBRASKA AVE",NA,"SAN JUAN","78589-2649","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3354","TX1080011","CITY OF WESLACO","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",32092,2,2,2,4,6,"State","SW","Y","Y","N",14323,"Y","SUAREZ, DAVID","SUAREZ, DAVID",NA,"956-968-3181",NA,NA,NA,"255 S KANSAS AVE",NA,"WESLACO","78596-6158","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3355","TX1080021","CITY OF HIDALGO","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",12200,2,2,2,4,6,"State","GW","Y","N","N",3949,"Y","CEPEDA, MARTIN","CEPEDA, MARTIN",NA,"956-843-2286",NA,NA,NA,"704 E TEXANO DR",NA,"HIDALGO","78557-4104","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3356","TX1080022","AGUA SUD","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",45498,2,2,2,4,6,"State","SW","Y","N","N",14425,"Y","CHAPA, MARIO","CHAPA, MARIO",NA,"956-585-2459",NA,NA,NA,"PO BOX 4379",NA,"MISSION","78573-0075","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3357","TX1080029","NORTH ALAMO WSC","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",127824,2,3,4,5,8,"State","SW","Y","N","N",42608,"Y","KRENEK, STEVE, D","KRENEK, STEVE, D",NA,"956-383-1618",NA,NA,NA,"420 S DOOLITTLE RD",NA,"EDINBURG","78542-9707","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3358","TX1080033","SHARYLAND WSC","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",51504,2,3,3,4,7,"State","SW","Y","N","N",17168,"Y","MOSELEY, MARK","MOSELEY, MARK",NA,"956-585-6081",NA,NA,NA,"PO BOX 1868",NA,"MISSION","78573-0031","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3359","TX1080067","MILITARY HWY WSC LAS RUSIAS","Y","TX","06",NA,NA,"A",NA,"CWS","4",NA,"SW",NA,"L",16890,2,2,2,4,6,"State","GU","Y","N","N",5630,"Y","NARANJO, CIPRIANO","NARANJO, CIPRIANO",NA,"956-565-2491",NA,NA,NA,"PO BOX 250",NA,"PROGRESO","78579-0250","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3360","TX1080234","MILITARY HWY WSC PROGRESO","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",15765,2,2,2,4,6,"State","GW","Y","N","N",5079,"Y","NARANJO, CIPRIANO","NARANJO, CIPRIANO",NA,"956-565-2491",NA,NA,NA,"PO BOX 250",NA,"PROGRESO","78579-0250","US","TX","N",NA,NA,NA,"Not Reported","Hidalgo"
"3361","TX1090001","CITY OF HILLSBORO","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",10101,2,2,2,4,6,"State","SWP","Y","N","N",3367,"Y","OMBERG, EDITH, TURNER","OMBERG, EDITH, TURNER",NA,"254-582-0396",NA,NA,NA,"PO BOX 568",NA,"HILLSBORO","76645-0568","US","TX","Y","31-AUG-05",NA,NA,"Not Reported","Hill"
"3362","TX1100002","CITY OF LEVELLAND","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",14278,2,2,2,4,6,"State","SWP","Y","N","N",5752,"Y","PINNER, BARBRA","PINNER, BARBRA",NA,"806-894-0113",NA,NA,NA,"PO BOX 1010",NA,"LEVELLAND","79336-1010","US","TX","Y","31-AUG-13",NA,NA,"Not Reported","Hockley"
"3363","TX1110001","CITY OF GRANBURY","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",11193,2,2,2,4,6,"State","SW","Y","Y","N",5537,"Y","HULETT, NIN","HULETT, NIN",NA,"817-573-1114",NA,NA,NA,"PO BOX 969",NA,"GRANBURY","76048-0969","US","TX","N",NA,NA,NA,"Not Reported","Hood"
"3364","TX1110007","ACTON MUD","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",17855,2,2,2,4,6,"State","SWP","Y","Y","N",8177,"Y","MULLALLY, MIKE","MULLALLY, MIKE",NA,"817-326-4720",NA,NA,NA,"6420 LUSK BRANCH CT",NA,"GRANBURY","76049-2035","US","TX","N",NA,NA,NA,"Not Reported","Hood"
"3365","TX1120002","CITY OF SULPHUR SPRINGS","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",15871,2,2,2,4,6,"State","SW","Y","Y","N",10218,"Y","PRICE, KAYLA","PRICE, KAYLA",NA,"903-885-7541",NA,NA,NA,"125 DAVIS ST S",NA,"SULPHUR SPRINGS","75482-2717","US","TX","N",NA,NA,NA,"Not Reported","Hopkins"
"3366","TX1140001","CITY OF BIG SPRING","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",27282,2,2,2,4,6,"State","SW","Y","Y","N",10968,"Y","MCLELLAN, LARRY","MCLELLAN, LARRY",NA,"432-264-2401",NA,NA,NA,"310 NOLAN ST",NA,"BIG SPRING","79720-2657","US","TX","Y","31-AUG-12",NA,NA,"Not Reported","Howard"
"3367","TX1160004","CITY OF GREENVILLE","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",25557,2,2,2,4,6,"State","SW","Y","Y","N",10753,"Y","DREILING, DAVID","DREILING, DAVID",NA,"903-457-3116",NA,NA,NA,"PO BOX 1049",NA,"GREENVILLE","75403-1049","US","TX","Y","31-AUG-12",NA,NA,"Not Reported","Hunt"
"3368","TX1160018","CASH SUD","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",16542,2,2,2,4,6,"State","SW","Y","Y","N",9700,"Y","REESE, WILLIAM C","REESE, WILLIAM C",NA,"903-883-2443",NA,"903-883-4045",NA,"PO BOX 8129",NA,"GREENVILLE","75404-8129","US","TX","Y","31-AUG-12",NA,NA,"Not Reported","Hunt"
"3369","TX1160029","CADDO BASIN SUD","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",10419,2,2,2,4,6,"State","SWP","Y","N","N",3473,"Y","BRYANT, LEAHMON F","BRYANT, LEAHMON F","LFBRYANT@SKYTECH.NET","903-527-3504",NA,"903-527-4805",NA,"156 COUNTY ROAD 1118",NA,"GREENVILLE","75401-7514","US","TX","N",NA,NA,NA,"Not Reported","Hunt"
"3370","TX1170001","BORGER MUNICIPAL WATER SYSTEM","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",13206,2,2,2,4,6,"State","SW","Y","Y","N",5785,"Y","VINYARD, ROBERT","VINYARD, ROBERT",NA,"806-273-0905",NA,NA,NA,"PO BOX 5250",NA,"BORGER","79008-5250","US","TX","N",NA,NA,NA,"Not Reported","Hutchinson"
"3371","TX1210001","CITY OF JASPER","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"GW",NA,"L",10388,2,2,2,4,6,"State","GW","Y","N","N",4106,"Y","LOUT, MIKE","LOUT, MIKE",NA,"409-384-4651",NA,NA,NA,"PO BOX 610",NA,"JASPER","75951-0008","US","TX","N",NA,NA,NA,"Not Reported","Jasper"
"3372","TX1230001","CITY OF BEAUMONT WATER UTILITY DEPT","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",118228,2,3,4,5,8,"State","SW","Y","Y","N",57538,"Y","AMES, BECKY","AMES, BECKY","htohme@ci.beaumont.tx.us","409-785-3000",NA,NA,NA,"1350 LANGHAM RD",NA,"BEAUMONT","77707-3439","US","TX","Y","30-JUN-92",NA,NA,"Not Reported","Jefferson"
"3373","TX1230006","CITY OF NEDERLAND","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",18952,2,2,2,4,6,"State","SW","Y","Y","N",7887,"Y","NUGENT, R A, DICK","NUGENT, R A, DICK",NA,"409-723-1503",NA,NA,NA,"PO BOX 967",NA,"NEDERLAND","77627-0967","US","TX","N",NA,NA,NA,"Not Reported","Jefferson"
"3374","TX1230009","CITY OF PORT ARTHUR","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",54548,2,3,3,4,7,"State","SW","Y","Y","N",17295,"Y","FREEMAN, DERRICK, FORD","FREEMAN, DERRICK, FORD",NA,"409-983-8105",NA,NA,NA,"PO BOX 1089",NA,"PORT ARTHUR","77641-1089","US","TX","N",NA,NA,NA,"Not Reported","Jefferson"
"3375","TX1230010","CITY OF PORT NECHES","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",13158,2,2,2,4,6,"State","SW","Y","Y","N",5843,"Y","JOHNSON, GLENN","JOHNSON, GLENN",NA,"409-719-4204",NA,NA,NA,"PO BOX 758",NA,"PORT NECHES","77651-0758","US","TX","N",NA,NA,NA,"Not Reported","Jefferson"
"3376","TX1230012","CITY OF GROVES","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",15804,2,2,2,4,6,"State","SW","Y","Y","N",6481,"Y","BAILEY, BRAD, P","BAILEY, BRAD, P",NA,"409-960-5717",NA,NA,NA,"3947 LINCOLN AVE",NA,"GROVES","77619-4604","US","TX","N",NA,NA,NA,"Not Reported","Jefferson"
"3377","TX1250001","CITY OF ALICE","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",19100,2,2,2,4,6,"State","SW","Y","Y","N",7929,"Y","ORNELAS, IKE","ORNELAS, IKE",NA,"361-668-7210",NA,NA,NA,"PO BOX 3229",NA,"ALICE","78333-3229","US","TX","N",NA,NA,NA,"Not Reported","Jim Wells"
"3378","TX1260002","CITY OF BURLESON","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",45594,2,2,2,4,6,"State","SWP","Y","N","N",15198,"Y","SHETTER, KENNETH","SHETTER, KENNETH","MAYOR@BURLESONTX.COM","817-426-9830",NA,"817-426-9377",NA,"141 W RENFRO ST",NA,"BURLESON","76028-4261","US","TX","Y","31-AUG-02",NA,NA,"Not Reported","Johnson"
"3379","TX1260003","CITY OF CLEBURNE","Y","TX","06",NA,NA,"A",NA,"CWS","3",NA,"SW",NA,"L",30000,2,2,2,4,6,"State","SW","Y","N","N",14658,"Y","CAIN, SCOTT","CAIN, SCOTT",NA,"817-645-0900",NA,NA,NA,"PO BOX 677",NA,"CLEBURNE","76033-0677","US","TX","N",NA,NA,NA,"Not Reported","Johnson"
"3380","TX1260017","BETHESDA WSC","Y","TX","06",NA,NA,"A",NA,"CWS","1",NA,"SW",NA,"L",29763,2,2,2,4,6,"State","SWP","Y","N","N",9921,"Y","ABLES, MELVIN","ABLES, MELVIN",NA,"817-295-2131",NA,"817-447-9370",NA,"PO BOX 130",NA,"BURLESON","76097-0130","US","TX","Y","31-AUG-02",NA,NA,"Not Reported","Johnson"
"3381","TX1260018","JOHNSON COUNTY SUD","Y","TX","06",NA,NA,"A",NA,"CWS","2",NA,"SW",NA,"L",43350,2,2,2,4,6,"State","SWP","Y","Y","N",18842,"Y","WEBB, TOMMY","WEBB, TOMMY",NA,"817-326-3484",NA,NA,NA,"PO BOX 509",NA,"CLEBURNE","76033-0509","US","TX","Y","31-AUG-96",NA,NA,"Not Reported","Johnson"
